"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3"
"ENSMUSG00000026914","Psmd14",-0.433559907700121,7.65803370067094,29.1378414565764,6.74074367616112e-08,2.33729850887277e-07,7.40946137050454,7.45067470119534,7.45259859268591,7.86255618721386,7.80501114718023,7.8779582378078
"ENSMUSG00000002020","Ltbp2",0.871885770985922,3.28127656257074,29.1314164177524,6.7631348564531e-08,2.3443062422449e-07,4.11646743568785,3.57266409782286,3.75522771575637,2.36078534829872,2.51098266394077,2.26928825253279
"ENSMUSG00000061024","Rrs1",-0.503445651190538,6.21158036982512,29.1300244561349,6.76799563855149e-08,2.34458452964691e-07,5.75204574138164,6.05443878266927,5.92956579757175,6.4371934750042,6.4160714764745,6.51185219156914
"ENSMUSG00000026308","Klhl30",0.997702559365778,2.69270702993223,29.1299372973411,6.7683001167498e-08,2.34458452964691e-07,3.19152748027121,3.31978761895733,3.24571909320084,1.80734441918967,1.77740565440457,1.85345815587601
"ENSMUSG00000027375","Mal",-0.422887047620822,7.65660749402062,29.1001258005637,6.87325212538622e-08,2.38017355334332e-07,7.36071712219938,7.4542557747288,7.43930146569483,7.87930236082785,7.81467473341293,7.88657018909392
"ENSMUSG00000056486","Chn1",0.45114526853385,5.53512720588831,29.0950203165897,6.89138894016658e-08,2.38568565919003e-07,5.73257598387938,5.78661505118148,5.86378348238472,5.19502762832451,5.25576587568788,5.20995330590817
"ENSMUSG00000032216","Nedd4",0.606983413013252,10.7861104415344,29.0786310275329,6.94993522981552e-08,2.40517880828355e-07,10.8030392611084,11.1373127286581,11.1937719846994,10.4276761328615,10.4483298552968,10.4910256980597
"ENSMUSG00000028603","Scp2",0.607489754664392,4.31341195256614,29.0477894099271,7.06146328389188e-08,2.44298901958654e-07,4.58564243058455,4.75638045800464,4.75134755875219,3.76849128249656,3.79848616189958,3.82339517620378
"ENSMUSG00000029569","Tmem168",0.528046232216789,5.46946283172236,29.0283523554855,7.13267008804981e-08,2.46682981906201e-07,5.61183300486412,5.74394804746522,5.73807124340522,5.24404467969812,5.1560487320237,5.19576743996784
"ENSMUSG00000041180","Hectd2",1.12880226175795,2.41614656996108,29.0142976935117,7.18460652509551e-08,2.48399278025898e-07,3.26235901897304,2.83979899939187,3.21632279536967,1.23725483662026,1.09410413347831,0.715362033993736
"ENSMUSG00000024130","Abca3",0.432414431652009,6.72402916299696,29.0065881594327,7.21325646178881e-08,2.49309626069993e-07,6.89455483080098,6.98846185847963,7.05861543141307,6.39282102965589,6.42431521747201,6.41584756733033
"ENSMUSG00000021774","Ube2e1",-0.455054840050018,5.82119008677276,28.995320167301,7.25533628358272e-08,2.5068341276834e-07,5.61376923705967,5.67564449738325,5.56463784163885,6.01362257664834,6.02583327020106,5.95236529713529
"ENSMUSG00000025856","Pdgfa",-0.532935108910501,5.01704659753317,28.9770731352956,7.32400132234226e-08,2.52974582949412e-07,4.84827923858668,4.65047679009314,4.76155926506349,5.20351517015173,5.32659036034961,5.17019847854192
"ENSMUSG00000096054","Syne1",0.678652916758849,4.39801786812365,28.9714736927799,7.34520275462189e-08,2.53595285115329e-07,4.74075778488415,4.57090119726655,5.01305059172308,3.88161575406678,3.99471688144932,3.72145632858751
"ENSMUSG00000073968","Trim68",-0.836778863349237,3.25206152747988,28.9710814853067,7.34669009069807e-08,2.53595285115329e-07,3.30612329293695,2.68259641424578,2.72588780909966,3.58763533919315,3.48835641862606,3.40808781528449
"ENSMUSG00000058440","Nrf1",-0.45018044281002,5.65104732760492,28.9588491881448,7.3932294072435e-08,2.55119816688476e-07,5.43477103069167,5.51895276679866,5.51238189708828,5.78793388580467,5.75784876541407,5.84131917900573
"ENSMUSG00000029772","Ahcyl2",0.473685093051734,5.83445386447304,28.9483579487359,7.43337990699017e-08,2.56422980167642e-07,5.92107101136897,6.16783326064914,6.2034435681877,5.4819119532506,5.5170228411152,5.5256559786309
"ENSMUSG00000033964","Zbtb41",0.436151983437632,5.92920566287563,28.9282526941711,7.51093528128208e-08,2.59015217640363e-07,6.11193538625118,6.1316131113931,6.21166026269155,5.63497631653441,5.67341588815397,5.69210384233434
"ENSMUSG00000025203","Scd2",-0.784417082028626,11.1022894496893,28.9127045950847,7.57146709066397e-08,2.61018921608553e-07,10.4883069628295,10.8102565089212,10.8998037774356,11.3975873268285,11.3510095682002,11.4189701892706
